지역구분,지역구분_시,지역구분_도심/도심외,지역구분_읍/면/동,관광업종 구분,회원 유형,회원 성별,회원 연령대,회원 거주지,2014-09~2015-08 카드이용금액,2014-09 ~ 2015-08 카드이용건수,2014-09~2015-08 카드이용자수,2015-09~2016-08 카드이용금액,2015-09~2016-08 카드이용건수,2015-09~2016-08 카드이용자수,데이터기준일자
제주도,서귀포시,도심,전체,소매,내국인,남,60대이상,제주,2179939470,17618,3165,2002384189,17489,3108,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,여,20대 미만,제주,9490210,457,90,22449650,1121,202,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,여,20대,제주,560586870,15685,2677,614233163,16707,2861,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,여,30대,제주,1751475615,29583,4090,1813501528,29355,4238,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,여,40대,제주,3213114692,40590,5038,3556889962,42658,5238,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,여,50대,제주,3837041070,35442,4337,4105301978,37350,4455,2017-02-16
제주도,서귀포시,도심,전체,소매,내국인,여,60대이상,제주,2001759600,17591,2414,2005457755,18805,2492,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,남,20대 미만,제주,13248040,2129,153,33196890,5235,355,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,남,20대,제주,777808951,81066,4727,1192567290,123828,5910,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,남,30대,제주,2994341203,164886,8449,3784318721,219431,9195,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,남,40대,제주,5344988381,215220,9775,6237711262,276793,10643,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,남,50대,제주,4315270839,137865,6568,4662982267,164281,6975,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,남,60대이상,제주,3167885957,80421,3843,3249232633,88827,3949,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,여,20대 미만,제주,14520970,1508,135,41217800,5645,316,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,여,20대,제주,912625612,66664,4640,1246458980,92189,5347,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,여,30대,제주,3495596342,132463,7015,4009842746,159073,7470,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,여,40대,제주,5721108635,177190,7448,6235847965,206951,7955,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,여,50대,제주,4407803965,119358,5135,4560497776,130315,5424,2017-02-16
제주도,서귀포시,도심,전체,쇼핑,내국인,여,60대이상,제주,2216734150,55319,2550,2206790362,60326,2696,2017-02-16
제주도,서귀포시,도심,전체,숙박,내국인,남,20대,제주,65246854,1259,557,111985443,2063,775,2017-02-16
제주도,서귀포시,도심,전체,숙박,내국인,남,30대,제주,327433822,3981,1517,399343213,4434,1878,2017-02-16
제주도,서귀포시,도심,전체,숙박,내국인,남,40대,제주,742587031,5095,1871,663316702,6040,2219,2017-02-16
제주도,서귀포시,도심,전체,숙박,내국인,남,50대,제주,455341012,2794,1109,474562587,3257,1224,2017-02-16
제주도,서귀포시,도심,전체,숙박,내국인,남,60대이상,제주,484940795,2159,574,396554303,2202,701,2017-02-16
제주도,서귀포시,도심,전체,숙박,내국인,여,20대,제주,64566031,1282,569,96869745,1721,732,2017-02-16
